ID,Review,Date_of_review,Difficulty,Prof_rate,Course_ID,Prof_netlinkID
33,My advice to you is to take this course if you have studied 310 and 360. Just it will be fantastic.. Agathoklis is Knowledgeable prof. and kind in the same timed..Go ahead and take this course..,"May 9th, 2013",2,,A01,panagath
34,"Often assumes that students know things they may not(particularly if you are a software engineering student) which can make lectures confusing. This knowledge is not required for assignments and tests though. Overall, fairly effective","Apr 2nd, 2012",3,,ELEC360,panagath
35,"Great prof and great course. Really spurred my interest in controls. Make sure to attend class and pay close attention, what he actually says in class is golden.","Apr 16th, 2011",3,,ELEC460,panagath
36,Great prof! Very steady-steady guy!,"Jan 4th, 2011",4,,ELEC360,panagath
37,"Very nice prof. I like his course and him very much. Students won't have too much pressure on them. Shortcoming perhaps: not too well prepared for lectures and notes as other profs did. Though an disadvantage, I prefer somebody enjoying life.","May 29th, 2009",1,,ELEC532,panagath
38,"When I went into this class, i was expecting to learn a lot of practical and applicable stuff from the class. However, much emphasis was placed on the theory rather than its application. That made the course less interesting and hard as well. My grade speaks for itself. Wish I had not taken it.","May 4th, 2007",4,,ELEC483,panagath
39,THE best teacher I have ever had in my academic life. He deserved to be a candidate for 'Teaching Exellence' award or a Nobel prize in engineering.,"Nov 17th, 2005",2,,ELEC360AND460,panagath
40,"Very good prof. Gives useful, concrete examples, and derivations which are helpful but (usually) not too overly drawn-out. Exams can be tricky, but if you know the material, *study his examples* and look at practice exams, A+'s are possible.","Apr 25th, 2005",3,,ELEC360460,panagath
41,"Really a tough prof. Test questions are purposely trick. Her materials are some helpful, some frustrating. Good luck.","Jun 19th, 2024",5,1,519C,raltawy
42,"In my opinion this is a HORRIBLE PROFESSOR! Se has a very heavy accent so I could not follow his lecture, because of this I learn myself a lot of thing through Youtube. In the midterm I didnt solve the problems the way she taught/wanted and she discounted a lot of points! I don't recommend","Jun 11th, 2024",4,1,Cryptography,raltawy
43,"This was the hardest B I ever had. She is really lecture heavy and a lot of times her lecture's do not make much sense. Lectures are very boring, her accent is horrible, and completely honest it's the worst class i have taken at UVic. I don't mean to be rude but this is really a course that's not worth to be taken.","May 15th, 2024",5,1,519C,raltawy
44,this professor does nothing outside of class. She never got back a single assignment. She talks forever during class but doesn't matter much as her English is horrible. Assignments are really hard and only doable looking for templates or similar one on the internet. All in all hard prof and I didn't learn much..,"Apr 23rd, 2024",4,1,519C,raltawy
45,"Terrible, the class that i took was part online and part in class, but she took the online part as in she didn't have to teach at all! she expected you to learn everything by yourself. very difficult to understand what she says","Mar 13th, 2024",4,2,519C,raltawy
46,difficult to understand as English is not good and classes are not clear and midterm was way more difficult than the assignments almost nothing to do with them.,"Mar 6th, 2024",5,1,519C,raltawy
47,Classes just started and I notice this is a horrible professor!! She's mostly rude towards her students and never helps students understand anything whatsoever. Accent difficult to understand and sometines make fun of students. Let's see how exams will be.,"Feb 7th, 2024",4,1,519C,raltawy
48,unnecessary overcomplicated. the classes were very difficult and uninteresting. The grade consists of lists and heavy tests exclusively and the tests cover a broad range of topics with unpredictable levels of depth compared to the lists. My lowest grade for the last semester.,"Jan 3rd, 2024",3,1,519C,raltawy
49,"heavy exams. if you are prepared to study A LOT, then maybe you can do well as classes are almost useless and exams are far harder than what is taught in class.","Dec 13th, 2023",5,2,Cryptography,raltawy
50,"confusing classes, just a bunch of notes her handwriting is difficult to read. the exam was heavy much different from was taught in the online classes. terrible accent makes it hard to understand the content","Dec 9th, 2023",3,1,Blockchain,raltawy
51,Doesn't teach. hard to understand. Extremely hard theoretical exam.,"Nov 4th, 2023",5,2,Cryptography,raltawy
52,Just finished my course at UVIC this 2023 summer. Overall professors OK. Cryptography course is the only one I definitely wouldn't take again. Entered course with a reasonable gpa and practically failed the course. I was shockingly disappointedly with the professor to say it politely. Bad professor and you have to study A LOT and by yourself.,"Oct 31st, 2023",5,1,Cryptography,raltawy
53,"This class is absolutely terrible. Riham is very hard to understand, incredibly hard to follow and most of her explanations make no sense. I learned almost nothing in her classes. I mostly learned from Youtube videos, as most student in my class, even though it is hard cuz not all topics you can find videos about. Keep away if you can","Oct 25th, 2023",4,1,Cryptography,raltawy
54,"This professor was tough, it was difficult to pay attention to her classes as her accent is terrible. The lectures were bland and her voice is monotone. The homework is hard and the tests even harder. You learn by yourself. And her exams are heavy on math, prove theories, etc. nothing applicable.","Oct 18th, 2023",4,1,Blockchain,raltawy
55,at UVIc this was by far the worst class I've taken throughout my engineering course. Her tests are extremely hard and not related to what was taught in class. I almost failed the course and my average score went way down after it.,"Oct 10th, 2023",4,1,Cryptography,raltawy
56,I do not recommend this professor if you are trying to learn. She does not explain well and exams are heavy very different from what she teaches.,"Sep 30th, 2023",4,1,Cryptography,raltawy
57,"I regret taking this course, she is overly critical in how she grades and tests are far harder than what she teaches.","Sep 26th, 2023",5,2,Blockchain,raltawy
58,worst professor I had at UVIC. most students can't understand what she says terrible accent. tests are heavy with topics not explained in class,"Sep 15th, 2023",5,1,Cryptography,raltawy
59,"Made my final term awful. She makes the class much harder than it has to be, picking obscure points on the exams! Don't take this cryptography class unless you absolutely have to! She assigns tons of work, requires the a 30 year-old-book, is a hard grader, etc. Don't do it!","Sep 2nd, 2023",5,1,Cryptography,raltawy
60,This professor is not good. First exam was hard. Final exam was almost impossible. Homework era harshly and I only had one grade above an 75%. Classes were a waste of time as you can't understand what she says. The final exam covered things that were not covered in class or that was awfully explained.,"Aug 30th, 2023",4,1,Blockchain,raltawy
61,"Online lecture videos were just summaries of all the concepts, but were concise and easy to follow. Most of the class is done independently through reading the textbook building off of the lectures. Homework assignments are long and time consuming but there were only 3 before the midterms and were good practice. Midterms were challenging but fair.","Dec 16th, 2020",4,,ECE241,amiralib
62,Taking ECE 241 online for him. He recorded about 30 minutes of lectures a week where he talks about screenshots he took from the textbook then tells you to teach yourself the course. A disgusting lack of effort or care was put into this course.,"Nov 1st, 2020",4,1,ECE241,amiralib
63,Very good prof and great human being,"Mar 29th, 2018",1,,CENG450,amiralib
64,"Great prof! I took CENG 241 in 2015 with him. Don't miss his lectures, he's very good at explaining and breaking down course topics into pieces that are easier to understand.","Mar 6th, 2017",3,,CENG241,amiralib
65,One of the best profs at the school. He is passionate about computer architecture and it comes across in the ease with which he explains technical concepts. His quizzes are dead-easy if you attend lectures and yet you still come away with a good understanding of some of the fundamentals of computer architecture.,"Mar 27th, 2015",1,,CENG450,amiralib
66,"A real pleasure to hear this profs lectures. I look forward to them every day. He has awesome pace, and uses the perfect combination of powerpoint slides and writing on the board. I didn't particularly have an interest in computer engineering coming into the class, but he certainly changed that. Thanks for the awesome semester!","Jul 15th, 2013",1,,CENG241,amiralib
67,No Comments,"Aug 21st, 2007",4,2,CENG241,amiralib
68,"Amir is the BEST prof I have ever met. He's a rare gem in this cold world of engineering. The sincere passion that he radiates when he talks about the usually boring engineering material is what effected me the most. If all profs are one tenth as passionate about what they do -- research, teach, etc. -- more students would be inspired like I was.","Jul 18th, 2006",1,,CENG290241,amiralib
69,"This was a really tough course, but he did his best to make it easy and understandable. Smart guy.. obviously really understands the concepts thoroughly. Can answer pretty much any question thrown at him. Speaks directly to the class, and not into the chalkboard as so many other profs do.","Apr 12th, 2005",5,,CENG450,amiralib
70,Makes the class enjoyable with his added humour. Slides are clear and tests are fair.,"Jun 2nd, 2004",1,,CENG290,amiralib
71,"Great course, great teacher. He can confuse you sometimes, though, especially when basic math is involved (e.g., A.M.A.T.).","Apr 20th, 2004",1,,CENG450,amiralib
72,"Awesome course, prof is great, recommended!","Apr 19th, 2004",3,,CENG450,amiralib
73,He is very helpful and approachable. Presents with helpful slides and the best part is his fair exams!One of the best professors I have ever had :-),"Aug 13th, 2003",3,,CENG290,amiralib
74,"Don't bother asking questions in class - he'll give you a useless answer or brush you off and tell you to read the textbook. He gets behind easily and will race to keep up, and his slides are useless.","Aug 13th, 2003",2,2,CENG290,amiralib
75,"Very knowledgable, approachable and organized.","Apr 7th, 2003",3,,CENG450,amiralib
76,"This Communication Networks course was amazing and useful. She was caring and reachable. The final and midterms were weighted heavily, but the grading was fair. The labs were time-consuming but straightforward and interesting.","May 5th, 2024",2,,ECE363,cai
77,"For ECE 458, was not an option. Very nice, understanding, and knowledgeable about the material. Genuinely interesting to listen to and wanted us to do well. Lecture slides are basically useless and board writings will be tested, so make sure to take notes. Midterms and final were very straightforward.","Apr 17th, 2023",2,,ECE404,cai
78,As Electrical Engineer backgournd. she has alot of energy. For students who want to pursue wireless communicaiton I recommend to take class. If you don't have engineering and mathematics backgournd the course is tough. She is inspiratioin to women in engineering.,"Jan 15th, 2023",4,,ELEC514,cai
79,The class was definitely hard but she's good with grading. I thought I'd fail but ended up getting an A- in class. She's good with concepts and her lectures might be heavy but they're fun. Do the assignments and you'll be good.,"Dec 28th, 2022",3,,ECE514,cai
80,"She is very nice and professional, a role model for women engineer scientists. Her course is very helpful for those who wanna step forward to an academic career. She is good at heuristic education and works really hard. I really appreciate having taken her courses, which inspired me a lot.","Nov 13th, 2022",3,,ECE514,cai
81,She is one of the Worst professor. Dont know how she became professor in UVIC. Hard to understand her English even .. Took her course just to complete my semester. DONT TAKE HER COURSE !!! Kind of Discrimination most of the students faced...,"Aug 23rd, 2022",5,1,CENG461,cai
82,"She is quiet a researcher, herself and is fully aware of all the recent wireless technologies","May 1st, 2020",4,,ECE519,cai
83,"Course material was well prepared, and just the slides are enough to understand all topics. Even if you miss a few lectures, you can understand things from her slides.","Dec 5th, 2019",2,,ECE514,cai
84,"Professor Cai's the absolute best! She makes her lectures incredibly interesting and won't surprise you with what's on the test. Overall, she cares a lot about her students and I recommend going to her office hours if you have any questions.","Mar 4th, 2017",3,,CENG460,cai
85,Very good one,"Mar 4th, 2017",2,,CENG460,cai
86,LOVELY PROFESSOR,"Aug 20th, 2016",2,,ELEC519,cai
87,USELESS NOTES,"Apr 15th, 2016",1,1,CENG460,cai
88,"Definitively not the best teacher, luckily the subject itself is quite easy. Cannot speakwrite English properly and is often hard to understand. Grammar mistakes can be found on notes and exam text.","Jun 17th, 2015",2,2,ELEC514,cai
89,Very easy course with great notes. Concepts are made very clear while doing the assignments,"Jan 12th, 2014",1,,CENG460,cai
90,"Useless teacher, who doesn't know anything.","Oct 8th, 2010",5,1,CENG460,cai
91,"Great prof, super clear make sure you attend the lectures great class notes","Apr 26th, 2010",2,,CENG461,cai
92,No Comments,"Jul 13th, 2007",3,,ECE404,cai
93,"Prof. Cai is definitely one of the best profs in the department. Keeps everything simple and does not overcomplicate material. Tries very hard to make sure eveyone understand the material. Tip for CENG461/ELEC514 , make sure you study the material in the beginning (markov chains) as the rest of the course derives from that.","Mar 30th, 2007",2,,CENG461,cai
94,This course felt like you needed a full knowledge in the subjects being taught before actually learning it. I can understand the importance of self study but this felt more like a speed run of the topics with little to no help in understanding it. The only time examples were given was the day right before the midterms which made it hard to study.,"Mar 26th, 2024",3,2,ECE471,capson
95,"Absolute legend. Lectures easy to follow, posts notes that give good summary of lecture if unable to attend. Implements a lab heavy course very well. Cares about his students and pops into labs sometimes. Textbook not mandatory, was referenced as extra material to study but not needed.","Dec 17th, 2023",2,,ECE241,capson
96,"I loved Capson, he's very clear and organized in his lectures. He structured and ran his course very well, things were very rarely left to interpretation. Tests were exactly what we expected and fair, no major surprises or tricks. Also amusing at times and gives a 5 min brain break in the middle of an hour-twenty lecture which is much appreciated.","Dec 13th, 2021",4,,ECE241,capson
97,"Cares about student performance and implemented a lab-heavy course well. Very good lectures and the subject matter is presented in an exciting way, often leaving me sad that time was up at the end of each class.","Nov 30th, 2019",2,,ECE241,capson
98,"Awesome professor with great lectures. I loved the material of the class. Labs were though, but he spent time in class to explain them. Tests were decently difficult, and I didnt have enough time to finish the final, but still did well in the course","Jun 25th, 2017",4,,CENG241,capson
99,"Probably the best class I've taken thus far, content wise as well as professor wise. David Capson really knows his stuff and has a way of teaching you EVERYTHING that you need to know just in lecture. The lab is really fun even though the manual is horrendous. Midterms and assignments were both fair however final was extremely long and only 2 hrs.","Dec 19th, 2016",2,,CENG241,capson
100,"Capson is one of the best professors I've ever had. He presented the material clearly with a great, subtle sense of humour, and usually ended class 15 - 30 minutes early. Assignments were uncommon and short, both midterms were easy but the final was quite hard and caught everyone off guard. The labs also required a lot of preparation.","Dec 11th, 2016",3,,CENG241,capson
101,"We had two relatively simple midterms which led me to believe that the final exam would be of the same level of difficulty; but maybe class average was too high so he wanted to bring it a little down. It was only 2 hours and calculations took forever. It would be totally fine if it were 3 hour-exam, but 2 isn't possible to complete it.","Dec 10th, 2016",5,1,CENG241,capson
102,Great professor. Answers questions very well. Respects students. Would totally take his course again if any.,"Dec 5th, 2016",3,,CENG241,capson
103,"While CENG 241 isn't exactly the kind of class to have you on the edge of your seat eager to here about logic gates, Dr Capson did make it a manageable experience. While he is very busy and doesn't do office hours unless by special request, he seems to care about the class grades and always makes the TA's available. Would recommend","Oct 24th, 2016",3,,CENG241,capson
104,Take this course while you can and Dr. Darcie is teaching it. He makes a complicated course manageable and understandable. This course is a dream compared to ECE 340. Honestly you would be better to take ECE 404 before ECE 340. That's how good Dr Darcie is at explaining the concepts. If you master the worksheets you will do well in the course,"Dec 27th, 2020",3,,ECE404,tdarcie
105,"Dr Darcie is a super nice guy, very helpful and a good prof. I enjoyed the course overall, I found the lectures a little longboring but he did his best to make them enjoyable. Midterm and final were very fair, make sure you read and solve the problems on his slides and old finals midterms. Definitely possible to get an A+ (82% class avg).","Aug 19th, 2015",3,,ELEC404,tdarcie
106,"Tom is a good prof, he would always joke around in class. His slides are a good study tool for midterms and finals.","Sep 11th, 2013",2,,ELEC404,tdarcie
107,"In the top of his field, and with Tier 1 Canada Research Chair, this guys knows his stuff. His lectures are interesting & clear. His style of teaching is friendly. His research students are lucky to have an understanding, reasonable, interesting professor. His 623 course in Advanced Fiber Optics is highly recommended.","Nov 5th, 2010",3,,ELEC623,tdarcie
108,He is an excellent Grad Supervisor. One of the best in the ECE Department. His inter-personal skills & his technical skills are among the best. He trusts his Grad students and gives them the freedom to do pretty much anything. He treats hi grad students & post-docs with outmost respect.,"May 20th, 2007",4,,ECE599,tdarcie
109,"very helpful, practical, straightforward. like the way he convinces you about stuffs that are not important and ugly:) recently, he has started calling non-imp stuff as ugly-mess :D","Jul 19th, 2006",2,,ELEC404,tdarcie
110,excellent,"Feb 1st, 2005",3,,ELEC404,tdarcie
111,Prof. Dong is an awesome teacher. Really caring about students and has the knowledge about wireless communications!,"Dec 13th, 2022",2,,ELEC519B,xdong
112,Dr. Dong is awesome. Trust me. Take her class and thank me later.,"Jun 26th, 2019",2,,ECE450,xdong
113,"I would personally highly recommend this course to you, no matter if you are a senior/master/PhD student or not since you wanna become an expert in the wireless communication, 5G/6G, those fancy and promising areas. The efficient way of gaining good stuff from this course is to absolutely pay good attention to Prof. Dong's formulation and words.","Feb 7th, 2019",3,,ELEC519B,xdong
114,"Will over explain some material, but seems to generally care if the students understand material. Slides are great references but mostly just highlights from the textbook used. Only professor I've had willing to push back exams when students don't feel ready to make sure all students do the best they can.","Jun 14th, 2013",2,,ELEC310,xdong
115,Not a good teacher.Can't explain simple stuff. She might be a good student but is a very bad teacher. Sometimes its embarrassing for students who ask her question because she will fumble explaining it. The course is good but teacher is bad.,"May 9th, 2008",2,2.5,ELEC450,xdong
116,"Absolutley the easiest marker EVER! I will take any and all classes she teaches. You might be confused in class, and stressed during test, but once you get your exam back, you will thank her! Also took ELEC 405 with her, class is confusing, but test are easy! and easy marking! She is my FAV!!","Jun 28th, 2007",1,,ELEC450,xdong
117,"well organized notes and structured teaching. fair marking and well defined. gets confused in class many times about simple stuff, and stuff that goes away from her teaching notes. communication not clear at times. but, i did learn few things in the course, and will recommend her for this course.","Jul 19th, 2006",2,,ELEC450,xdong
118,"Worst professor in Electrical & Computer Engineering. No class preparation, doesn't even know the material herself. Heard she was being denied tenure at her old school.","Oct 21st, 2005",1,1,ELEC450512,xdong
119,The worst prof in the ELEC department. Worse than Papadop which is saying something.,"Jan 4th, 2024",2,1,ECE350,peterd
120,Tons of assignments and worksheets that are a waste of time. Uses a textbook he wrote that has numerous errors and is very poor in explaining concepts. Lectures are useless. Study old exams since Driessen mainly recycles old questions for the midterm and final. Completely disorganized final with not enough papers being printed out.,"Jan 4th, 2024",5,1,ECE350,peterd
121,Lots of worksheet and assignments. The lectures don't make any sense.,"Dec 11th, 2023",5,1,ECE350,peterd
122,Dr. Driessen has no ability to teach. Lectures are useless since uses no slides and flips between content at random. Texts and homework are self-inconsistent in both notation and chapter/figure numbers. Dozens of long worksheets worth next to nothing on their own but significant overall. BrightSpace is barely used; no announcements there.,"Nov 10th, 2023",5,1,ECE350,peterd
123,Sometimes I wonder if he picked on me because of my ethnicity,"Aug 11th, 2023",5,2,ELEC310,peterd
124,"Lectures are mostly alternating between reading his textbook and giving partial answers to his long and tedious worksheets. Homework questions are vague, and the references are full of errors. He does a lot of hand waving explanations and and he can't always explain if asked to clarify. Can write amateur radio exams to replace grades for midterms.","Jun 19th, 2022",4,1,ECE350,peterd
125,"Uses a textbook he wrote that references incorrect figures, has sentences that stop midway, etc. Lectures are basically just him reading and referencing the textbook. This is fairly straightforward subject material being taught in a very convoluted way. Also he makes you work like a dog, as though that somehow makes up for his inability to teach.","Dec 7th, 2021",4,1,ECE350,peterd
126,"Unorganized mess. Lectures consist of the waterfall plots + fumbling with technology + muffled, confusing explanations. Website is a mess with last year's assignments still there & duplicates. Weekly worksheets which are 50 questions long and require you to read his boring, incomplete textbook. Driessen ruined telecommunications for me.","Oct 4th, 2021",3,1,ECE350,peterd
127,"Peter was lazy in teaching and hard in marking. He didn't teach in class, never replies to messages, and gave tons of assignments(3 big deadlines on the Sunday of the first week). The textbook he wrote had lots of typos, and he ignored our message to acknowledge our contributions to his textbook.","Jan 12th, 2021",5,1,ELEC350,peterd
128,"I lost interest in radio communication because Peter was lazy in teaching and hard in marking. He didn't teach in class, never replies to messages, and gave tons of assignments(3 big deadlines on the Sunday of the first week). The textbook he wrote had lots of typos, and he ignored our message to acknowledge our contributions to his textbook.","Jan 12th, 2021",5,1,ELEC350,peterd
129,"If you are interested in Communications systems, go to a different university. Peter makes this course more difficult than it needs to be while simultaneous managing to not teach you anything memorable. The TA's are better teachers than Peter & he makes them do half of his lectures. UVIC's ECE Dept. has done nothing address his poor teaching.","Dec 27th, 2020",5,1,ECE350,peterd
130,"I was pretty excited to learn about wireless communication systems and the modulations systems when engineering. After taking 350 with Peter, I just had a dream and enthusiasm completely stifled. I don't recommend entering UVIC if you want study the topic. The material itself is not the hardest out there but it very much seemed such.","Dec 21st, 2020",4,1,ECE350,peterd
131,I've had a few terrible instructors during my time in college and university. They pale in comparison to Peter. Peter refuses to listen to feedback and to make matters worse the department chair doesn't seem to care either. This course and Peters instruction is a joke. An absolute embarrassment to the University of Victoria.,"Dec 21st, 2020",4,1,ECE350,peterd
132,"After taking ECE 350 and ECE 484 with Dr. Driessen, I can now confidently say that I have now had my worst university experience to date that undoubtedly won't be topped. The sheer lack of effort and disorganization that he displayed in these two courses is pitiful. It is a great shame that I had to pay for this experience. Avoid at all costs.","Nov 29th, 2020",4,1,ECE350,peterd
133,"Driessen isn't interested in engaging with undergrad students. His audio signal processing class is terribly structured (dropped out first time I took it) using multiple textbooks with different definitions for equations, expecting you to teach yourself basically everything in class. His lectures are not much help. Midterm prep material? no help.","Oct 23rd, 2020",4,1,ECE484,peterd
134,"Definitely know his stuff, but is really lazy in teaching this course. Midterms and assignments were basically the same as previous years. Basically just reads from his textbook during lecture occasionally writing things down. Really difficult final, although seems to have been scaled.","Dec 24th, 2019",3,1,ECE350,peterd
135,"The man straight up whispers on stage. You cannot hear a word he says even in the front rows. His handwritten notes are completely illegible. He does not teach any required material in the class, it is completely up to you to learn his own textbook, which consists of expanding an equation, the arriving back at the original variable. Why?","Oct 26th, 2019",3,1,ELEC350,peterd
136,"You pay $600.00 to watch a professor write illegible notes, fumble with technology and explain concepts deplorably. Then the same guy has the audacity to ask why attendance is so low. As a warning, do not waste your time doing posted review questions for the final, it won't help you. You're better off memorizing formulas and concepts.","Dec 8th, 2018",3,1,ELEC350,peterd
137,"I like his outlook (learn by doing). But, he is a disorganized person. Instead of carefully planning a lesson, he aimlessly wanders through a scattered collection of topics. His material isn't structured to help students who are learning things for the first time. I wish he would look at his courses from our perspective. Applies to ECE484, too.","Nov 6th, 2018",3,2,ELEC350,peterd
138,"He reminds me of a discount Rick from Rick and Morty, being he screws up the whole class (AKA class full of Morty clones).","Oct 11th, 2018",4,1,ECE350,peterd
139,"Fayez is a great lecturer who has his fair share of funny stories. If you do not attend lectures, you won't pass, because his lecture slides alone are not useful, but most of his lectures are completely full because he's so funny.","Mar 1st, 2024",2,,ECE310,fayez
